# GROUP_ID : ATOM/STRUCTURE  N_STRUCTURES  N_ATOMS_IN_GROUP 
           GRP-DC-P-UNPERTURBED+ISO :	2	165	330 
     GRP-DC-P-UNPERTURBED+ISO+SMALL :	2	80	160 
