0.000000 3.568425	3.567421	3.261460
100.000000 0.028012	0.025391	0.492903
200.000000 0.017432	0.016060	0.552512
300.000000 0.012681	0.011328	0.567630
400.000000 0.008778	0.008021	0.553672
500.000000 0.006735	0.006046	0.510369
600.000000 0.005615	0.005172	0.475925
700.000000 0.004746	0.004327	0.463929
800.000000 0.004253	0.004036	0.450778
900.000000 0.003762	0.003428	0.447353
1000.000000 0.003496	0.003276	0.431135
1100.000000 0.003269	0.003102	0.421124
1200.000000 0.003074	0.002919	0.418410
1300.000000 0.002962	0.002847	0.413391
1400.000000 0.002826	0.002711	0.415023
1500.000000 0.002743	0.002594	0.408826
1600.000000 0.002672	0.002539	0.400864
1700.000000 0.002597	0.002460	0.392973
1800.000000 0.002533	0.002403	0.383581
1900.000000 0.002472	0.002354	0.379029
2000.000000 0.002405	0.002314	0.367883
2100.000000 0.002358	0.002252	0.359969
2200.000000 0.002320	0.002253	0.353025
2300.000000 0.002293	0.002233	0.346926
2400.000000 0.002258	0.002210	0.341217
2500.000000 0.002237	0.002187	0.337849
2600.000000 0.002216	0.002182	0.334354
2700.000000 0.002198	0.002156	0.331245
2800.000000 0.002198	0.002157	0.331192
