0.000000 3.500908	3.533411	3.245774
100.000000 0.021493	0.021072	0.511406
200.000000 0.010379	0.010072	0.471016
300.000000 0.007469	0.007340	0.368726
400.000000 0.005642	0.005566	0.384241
500.000000 0.004576	0.004670	0.431990
600.000000 0.003783	0.003872	0.425007
700.000000 0.003320	0.003425	0.426281
800.000000 0.003098	0.003195	0.409109
900.000000 0.002947	0.003173	0.396163
1000.000000 0.002758	0.003084	0.373336
1100.000000 0.002629	0.002960	0.360156
1200.000000 0.002504	0.002845	0.352227
1300.000000 0.002368	0.002587	0.350051
1400.000000 0.002288	0.002393	0.349084
1500.000000 0.002219	0.002348	0.347947
1600.000000 0.002159	0.002324	0.349093
1700.000000 0.002113	0.002318	0.347204
1800.000000 0.002091	0.002314	0.347291
1900.000000 0.002071	0.002345	0.345755
2000.000000 0.002070	0.002354	0.345762
2100.000000 0.002070	0.002353	0.345780
2200.000000 0.002070	0.002353	0.345780
2300.000000 0.002070	0.002353	0.345780
2400.000000 0.002070	0.002353	0.345780
2500.000000 0.002070	0.002353	0.345780
2600.000000 0.002070	0.002353	0.345780
2700.000000 0.002070	0.002353	0.345780
2800.000000 0.002070	0.002353	0.345780
2900.000000 0.002070	0.002353	0.345780
3000.000000 0.002070	0.002353	0.345780
3100.000000 0.002070	0.002353	0.345780
3200.000000 0.002070	0.002353	0.345780
3300.000000 0.002070	0.002353	0.345780
3400.000000 0.002070	0.002353	0.345780
3500.000000 0.002070	0.002353	0.345780
3600.000000 0.002070	0.002353	0.345780
3700.000000 0.002070	0.002353	0.345780
3800.000000 0.002070	0.002353	0.345780
3900.000000 0.002070	0.002353	0.345780
4000.000000 0.002070	0.002353	0.345780
4100.000000 0.002070	0.002353	0.345780
4200.000000 0.002070	0.002353	0.345780
4300.000000 0.002070	0.002353	0.345780
4400.000000 0.002070	0.002353	0.345780
4500.000000 0.002070	0.002353	0.345780
4600.000000 0.002070	0.002353	0.345780
4700.000000 0.002070	0.002353	0.345780
4800.000000 0.002070	0.002353	0.345780
4900.000000 0.002070	0.002353	0.345780
5000.000000 0.002070	0.002353	0.345780
5100.000000 0.002070	0.002353	0.345780
5200.000000 0.002070	0.002353	0.345780
5300.000000 0.002070	0.002353	0.345780
5400.000000 0.002070	0.002353	0.345780
