1vac # comment line
1 # universal scaling factor
1.62124794e+01 0.00000000e+00 0.00000000e+00 # first Bravais lattice vector
0.00000000e+00 1.62124794e+01 0.00000000e+00 # second Bravais lattice vector
0.00000000e+00 0.00000000e+00 1.62124794e+01 # third Bravais lattice vector
215
C # direct or cartesian, only first letter is significant
-5.40415979e+00 -5.40415979e+00 -5.40415979e+00 Si
-5.40415979e+00 -5.40415979e+00 0.00000000e+00 Si
-5.40415979e+00 -5.40415979e+00 5.40415979e+00 Si
-5.40415979e+00 0.00000000e+00 -5.40415979e+00 Si
-5.40415979e+00 0.00000000e+00 0.00000000e+00 Si
-5.40415979e+00 0.00000000e+00 5.40415979e+00 Si
-5.40415979e+00 5.40415979e+00 -5.40415979e+00 Si
-5.40415979e+00 5.40415979e+00 0.00000000e+00 Si
-5.40415979e+00 5.40415979e+00 5.40415979e+00 Si
0.00000000e+00 -5.40415979e+00 -5.40415979e+00 Si
0.00000000e+00 -5.40415979e+00 0.00000000e+00 Si
0.00000000e+00 -5.40415979e+00 5.40415979e+00 Si
0.00000000e+00 0.00000000e+00 -5.40415979e+00 Si
0.00000000e+00 0.00000000e+00 5.40415979e+00 Si
0.00000000e+00 5.40415979e+00 -5.40415979e+00 Si
0.00000000e+00 5.40415979e+00 0.00000000e+00 Si
0.00000000e+00 5.40415979e+00 5.40415979e+00 Si
5.40415979e+00 -5.40415979e+00 -5.40415979e+00 Si
5.40415979e+00 -5.40415979e+00 0.00000000e+00 Si
5.40415979e+00 -5.40415979e+00 5.40415979e+00 Si
5.40415979e+00 0.00000000e+00 -5.40415979e+00 Si
5.40415979e+00 0.00000000e+00 0.00000000e+00 Si
5.40415979e+00 0.00000000e+00 5.40415979e+00 Si
5.40415979e+00 5.40415979e+00 -5.40415979e+00 Si
5.40415979e+00 5.40415979e+00 0.00000000e+00 Si
5.40415979e+00 5.40415979e+00 5.40415979e+00 Si
-2.70207990e+00 -2.70207990e+00 -5.40415979e+00 Si
-2.70207990e+00 -2.70207990e+00 0.00000000e+00 Si
-2.70207990e+00 -2.70207990e+00 5.40415979e+00 Si
-2.70207990e+00 2.70207990e+00 -5.40415979e+00 Si
-2.70207990e+00 2.70207990e+00 0.00000000e+00 Si
-2.70207990e+00 2.70207990e+00 5.40415979e+00 Si
-2.70207990e+00 8.10623969e+00 -5.40415979e+00 Si
-2.70207990e+00 8.10623969e+00 0.00000000e+00 Si
-2.70207990e+00 8.10623969e+00 5.40415979e+00 Si
2.70207990e+00 -2.70207990e+00 -5.40415979e+00 Si
2.70207990e+00 -2.70207990e+00 0.00000000e+00 Si
2.70207990e+00 -2.70207990e+00 5.40415979e+00 Si
2.70207990e+00 2.70207990e+00 -5.40415979e+00 Si
2.70207990e+00 2.70207990e+00 0.00000000e+00 Si
2.70207990e+00 2.70207990e+00 5.40415979e+00 Si
2.70207990e+00 8.10623969e+00 -5.40415979e+00 Si
2.70207990e+00 8.10623969e+00 0.00000000e+00 Si
2.70207990e+00 8.10623969e+00 5.40415979e+00 Si
8.10623969e+00 -2.70207990e+00 -5.40415979e+00 Si
8.10623969e+00 -2.70207990e+00 0.00000000e+00 Si
8.10623969e+00 -2.70207990e+00 5.40415979e+00 Si
8.10623969e+00 2.70207990e+00 -5.40415979e+00 Si
8.10623969e+00 2.70207990e+00 0.00000000e+00 Si
8.10623969e+00 2.70207990e+00 5.40415979e+00 Si
8.10623969e+00 8.10623969e+00 -5.40415979e+00 Si
8.10623969e+00 8.10623969e+00 0.00000000e+00 Si
8.10623969e+00 8.10623969e+00 5.40415979e+00 Si
-2.70207990e+00 -5.40415979e+00 -2.70207990e+00 Si
-2.70207990e+00 -5.40415979e+00 2.70207990e+00 Si
-2.70207990e+00 -5.40415979e+00 8.10623969e+00 Si
-2.70207990e+00 0.00000000e+00 -2.70207990e+00 Si
-2.70207990e+00 0.00000000e+00 2.70207990e+00 Si
-2.70207990e+00 0.00000000e+00 8.10623969e+00 Si
-2.70207990e+00 5.40415979e+00 -2.70207990e+00 Si
-2.70207990e+00 5.40415979e+00 2.70207990e+00 Si
-2.70207990e+00 5.40415979e+00 8.10623969e+00 Si
2.70207990e+00 -5.40415979e+00 -2.70207990e+00 Si
2.70207990e+00 -5.40415979e+00 2.70207990e+00 Si
2.70207990e+00 -5.40415979e+00 8.10623969e+00 Si
2.70207990e+00 0.00000000e+00 -2.70207990e+00 Si
2.70207990e+00 0.00000000e+00 2.70207990e+00 Si
2.70207990e+00 0.00000000e+00 8.10623969e+00 Si
2.70207990e+00 5.40415979e+00 -2.70207990e+00 Si
2.70207990e+00 5.40415979e+00 2.70207990e+00 Si
2.70207990e+00 5.40415979e+00 8.10623969e+00 Si
8.10623969e+00 -5.40415979e+00 -2.70207990e+00 Si
8.10623969e+00 -5.40415979e+00 2.70207990e+00 Si
8.10623969e+00 -5.40415979e+00 8.10623969e+00 Si
8.10623969e+00 0.00000000e+00 -2.70207990e+00 Si
8.10623969e+00 0.00000000e+00 2.70207990e+00 Si
8.10623969e+00 0.00000000e+00 8.10623969e+00 Si
8.10623969e+00 5.40415979e+00 -2.70207990e+00 Si
8.10623969e+00 5.40415979e+00 2.70207990e+00 Si
8.10623969e+00 5.40415979e+00 8.10623969e+00 Si
-5.40415979e+00 -2.70207990e+00 -2.70207990e+00 Si
-5.40415979e+00 -2.70207990e+00 2.70207990e+00 Si
-5.40415979e+00 -2.70207990e+00 8.10623969e+00 Si
-5.40415979e+00 2.70207990e+00 -2.70207990e+00 Si
-5.40415979e+00 2.70207990e+00 2.70207990e+00 Si
-5.40415979e+00 2.70207990e+00 8.10623969e+00 Si
-5.40415979e+00 8.10623969e+00 -2.70207990e+00 Si
-5.40415979e+00 8.10623969e+00 2.70207990e+00 Si
-5.40415979e+00 8.10623969e+00 8.10623969e+00 Si
0.00000000e+00 -2.70207990e+00 -2.70207990e+00 Si
0.00000000e+00 -2.70207990e+00 2.70207990e+00 Si
0.00000000e+00 -2.70207990e+00 8.10623969e+00 Si
0.00000000e+00 2.70207990e+00 -2.70207990e+00 Si
0.00000000e+00 2.70207990e+00 2.70207990e+00 Si
0.00000000e+00 2.70207990e+00 8.10623969e+00 Si
0.00000000e+00 8.10623969e+00 -2.70207990e+00 Si
0.00000000e+00 8.10623969e+00 2.70207990e+00 Si
0.00000000e+00 8.10623969e+00 8.10623969e+00 Si
5.40415979e+00 -2.70207990e+00 -2.70207990e+00 Si
5.40415979e+00 -2.70207990e+00 2.70207990e+00 Si
5.40415979e+00 -2.70207990e+00 8.10623969e+00 Si
5.40415979e+00 2.70207990e+00 -2.70207990e+00 Si
5.40415979e+00 2.70207990e+00 2.70207990e+00 Si
5.40415979e+00 2.70207990e+00 8.10623969e+00 Si
5.40415979e+00 8.10623969e+00 -2.70207990e+00 Si
5.40415979e+00 8.10623969e+00 2.70207990e+00 Si
5.40415979e+00 8.10623969e+00 8.10623969e+00 Si
-4.05311984e+00 -4.05311984e+00 -4.05311984e+00 Si
-4.05311984e+00 -4.05311984e+00 1.35103995e+00 Si
-4.05311984e+00 -4.05311984e+00 6.75519974e+00 Si
-4.05311984e+00 1.35103995e+00 -4.05311984e+00 Si
-4.05311984e+00 1.35103995e+00 1.35103995e+00 Si
-4.05311984e+00 1.35103995e+00 6.75519974e+00 Si
-4.05311984e+00 6.75519974e+00 -4.05311984e+00 Si
-4.05311984e+00 6.75519974e+00 1.35103995e+00 Si
-4.05311984e+00 6.75519974e+00 6.75519974e+00 Si
1.35103995e+00 -4.05311984e+00 -4.05311984e+00 Si
1.35103995e+00 -4.05311984e+00 1.35103995e+00 Si
1.35103995e+00 -4.05311984e+00 6.75519974e+00 Si
1.35103995e+00 1.35103995e+00 -4.05311984e+00 Si
1.35103995e+00 1.35103995e+00 1.35103995e+00 Si
1.35103995e+00 1.35103995e+00 6.75519974e+00 Si
1.35103995e+00 6.75519974e+00 -4.05311984e+00 Si
