0.000000 0.338710	0.342394	0.246068
100.000000 0.001615	0.001626	0.028414
200.000000 0.000825	0.000855	0.035804
300.000000 0.000561	0.000597	0.045583
400.000000 0.000442	0.000466	0.051992
500.000000 0.000384	0.000402	0.063113
600.000000 0.000350	0.000355	0.069586
700.000000 0.000313	0.000319	0.071815
800.000000 0.000287	0.000283	0.072711
900.000000 0.000265	0.000265	0.071836
1000.000000 0.000256	0.000249	0.069859
1100.000000 0.000250	0.000256	0.068662
1200.000000 0.000246	0.000253	0.068838
1300.000000 0.000242	0.000259	0.068554
1400.000000 0.000240	0.000260	0.068416
1500.000000 0.000238	0.000259	0.068443
1600.000000 0.000233	0.000241	0.068734
1700.000000 0.000229	0.000236	0.069403
1800.000000 0.000229	0.000238	0.069568
1900.000000 0.000229	0.000238	0.069568
2000.000000 0.000229	0.000238	0.069568
2100.000000 0.000229	0.000238	0.069568
2200.000000 0.000229	0.000238	0.069568
2300.000000 0.000229	0.000238	0.069568
2400.000000 0.000229	0.000238	0.069568
2500.000000 0.000229	0.000238	0.069568
2600.000000 0.000229	0.000238	0.069568
2700.000000 0.000229	0.000238	0.069568
2800.000000 0.000229	0.000238	0.069568
2900.000000 0.000229	0.000238	0.069568
3000.000000 0.000229	0.000238	0.069568
3100.000000 0.000229	0.000238	0.069568
3200.000000 0.000229	0.000238	0.069568
3300.000000 0.000229	0.000238	0.069568
3400.000000 0.000229	0.000238	0.069568
3500.000000 0.000229	0.000238	0.069568
3600.000000 0.000229	0.000238	0.069568
3700.000000 0.000229	0.000238	0.069568
3800.000000 0.000229	0.000238	0.069568
3900.000000 0.000229	0.000238	0.069568
4000.000000 0.000229	0.000238	0.069568
4100.000000 0.000229	0.000238	0.069568
4200.000000 0.000229	0.000238	0.069568
4300.000000 0.000229	0.000238	0.069568
4400.000000 0.000229	0.000238	0.069568
4500.000000 0.000229	0.000238	0.069568
4600.000000 0.000229	0.000238	0.069568
4700.000000 0.000229	0.000238	0.069568
4800.000000 0.000229	0.000238	0.069568
4900.000000 0.000229	0.000238	0.069568
5000.000000 0.000229	0.000238	0.069568
5100.000000 0.000229	0.000238	0.069568
5200.000000 0.000229	0.000238	0.069568
5300.000000 0.000229	0.000238	0.069568
5400.000000 0.000229	0.000238	0.069568
5500.000000 0.000229	0.000238	0.069568
5600.000000 0.000229	0.000238	0.069568
5700.000000 0.000229	0.000238	0.069568
