0.000000 0.354002	0.361428	0.296074
100.000000 0.001991	0.001732	0.038275
200.000000 0.001063	0.000963	0.036540
300.000000 0.000818	0.000756	0.035528
400.000000 0.000684	0.000674	0.036183
500.000000 0.000560	0.000554	0.034955
600.000000 0.000500	0.000479	0.036223
700.000000 0.000452	0.000436	0.039634
800.000000 0.000420	0.000409	0.039987
900.000000 0.000392	0.000381	0.043374
1000.000000 0.000362	0.000346	0.045937
1100.000000 0.000350	0.000336	0.047562
1200.000000 0.000338	0.000319	0.049646
1300.000000 0.000331	0.000309	0.050517
1400.000000 0.000324	0.000303	0.050878
1500.000000 0.000318	0.000298	0.051103
1600.000000 0.000314	0.000298	0.051398
1700.000000 0.000308	0.000294	0.051281
1800.000000 0.000303	0.000291	0.051231
