GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9155531440 0.0000000000 0.0000000000 
0.0000000000 10.9155531440 0.0000000000 
0.0000000000 0.0000000000 10.9155531440 
64
carestian or direct (scaled), only the first letter matters
0.0000000000 0.0000000000 10.9159950603 
64
carestian or direct (scaled), only the first letter matters
-0.0046217702 0.0081013406 -0.0148165693	0.04155083 -0.16493719 0.18199477
2.7447200374 2.7508684677 0.0113104153	-0.14797253 -0.32355668 -0.12948670
0.0000602035 2.7182448844 2.7408219719	0.12057111 0.15845847 -0.11788100
2.7362288470 -0.0169483512 2.7450354388	-0.17368404 0.12719209 -0.26278842
1.3635910346 1.3608668720 1.3502971575	0.12692075 0.02240562 0.22182197
4.1048716838 4.0947855073 1.3470191778	-0.02168116 0.11399896 0.33070167
1.3849033802 4.1024274590 4.0860391730	-0.21597566 -0.24120202 -0.01919354
4.1042502814 1.3528066049 4.0817810180	-0.25295270 0.16870089 0.31665440
0.0147144230 0.0145316730 5.4401680864	-0.06900700 0.01108257 0.28465490
2.7239943646 2.7426249182 5.4738157723	0.11500583 -0.20687116 -0.27336344
-0.0218729862 2.7106486547 8.1726985343	0.22956719 0.14280516 0.51313878
2.7508028574 -0.0094497238 8.1973542729	-0.23843343 0.26178295 0.05674641
1.3654545994 1.3832046653 6.8329892843	0.12695883 -0.37106809 -0.04227631
4.0750484035 4.1125763555 6.8066195660	0.29117182 -0.07535579 0.09865742
1.3776257474 4.0950178359 9.5650642265	-0.20246349 -0.20508016 -0.30796415
4.1032954478 1.3808890118 9.5574673109	0.05626576 -0.10600425 -0.00787094
0.0055538935 5.4384993084 0.0015010752	-0.13719823 0.14387759 0.02599151
2.7113879621 8.1776250159 0.0209948123	0.20191579 0.02962073 -0.16590304
-0.0002232640 8.1713643609 2.7428000361	-0.07268279 0.13644395 -0.27027340
2.7313126587 5.4440775803 2.7264137350	0.18765917 0.23503849 -0.07553823
1.3604937698 6.8138920828 1.3616383432	-0.06661934 -0.11990970 0.20371507
4.0889591693 9.5371473264 1.3743199945	0.07951051 0.04579965 -0.10393041
1.3438683782 9.5522418470 4.0857928648	0.33650283 -0.19389439 0.19384430
4.1022158742 6.8137648700 4.1100063002	-0.16688825 0.17673042 -0.37424824
0.0063953562 5.4519664555 5.4377282706	-0.03097584 0.03135885 0.19170484
2.7367811481 8.1766857873 5.4745239418	-0.06663769 0.26575830 -0.13568182
-0.0045367756 8.1722169773 8.2003045357	0.23198904 0.14590289 -0.17449430
2.7393312685 5.4501340219 8.1919994475	-0.15777857 0.04524313 0.02067014
1.3772738129 6.8071976116 6.8182125090	-0.19123352 0.06264628 0.15601067
4.1059951553 9.5602186832 6.8409682415	0.01536019 -0.08793022 -0.29479082
1.3698962198 9.5529672142 9.5680709830	-0.04423329 -0.08585854 -0.21953176
4.0900830337 6.8027772980 9.5650475277	0.00435007 0.28061062 -0.00562780
5.4708654675 -0.0183545751 0.0001346929	-0.34822475 0.25038852 0.10651226
8.1704538825 2.7090129994 -0.0043907047	0.08314951 0.38739956 0.20949127
5.4373384621 2.7393788769 2.7441932329	0.32348306 -0.00574926 -0.17484958
8.1815615761 0.0150224182 2.7130064953	0.08281172 -0.17755535 0.29956190
6.8093419109 1.3695897489 1.3613802449	-0.11676640 -0.01675119 0.13632638
9.5438154094 4.0986853755 1.3821252450	0.06073591 -0.26730489 -0.20031212
6.8436337066 4.0877534126 4.1073425084	-0.22736485 0.20725427 -0.13516084
9.5554292446 1.3845384433 4.1131538028	-0.13229984 -0.25170178 -0.28599293
5.4757809066 -0.0036363506 5.4380960203	-0.27879782 -0.02026438 0.27390158
8.1954219303 2.7375262057 5.4609539576	-0.07688515 -0.17120566 0.09173264
5.4537801766 2.7468512517 8.1674850088	0.07942842 -0.12588468 -0.01303500
8.1961383129 0.0210478465 8.1989502902	-0.12770980 -0.29031124 -0.17600873
6.8329606345 1.3453488450 6.8025839981	-0.05148131 0.32432498 0.19561725
9.5642422159 4.0717892278 6.8174318703	-0.07993927 0.33296007 -0.06210714
6.8218220712 4.1020306291 9.5574950528	-0.06288990 -0.13415943 -0.08811784
9.5318446470 1.3576343535 9.5725811923	0.19909308 0.17351565 -0.21663944
5.4676435669 5.4683926021 0.0180952054	-0.06550996 -0.18192761 -0.25599706
8.2048353606 8.1989773918 0.0138060866	-0.49753279 -0.27174465 -0.27177851
5.4669611139 8.1752797620 2.7153173512	-0.19532613 0.04135804 0.31293551
8.2069817028 5.4699582227 2.7383819684	-0.26196577 -0.10079435 0.02292268
6.8052397181 6.8025160226 1.3771684091	0.51350262 0.29079863 -0.07299293
9.5502201114 9.5386535244 1.3500040202	0.21168892 0.27460817 0.35368822
6.8075077451 9.5400217061 4.1119550453	0.25036342 0.08557312 -0.56909889
9.5444327926 6.8370692441 4.1034603378	0.10111138 -0.14924200 -0.00126819
5.4526902763 5.4766698006 5.4533290934	0.20453912 -0.28904820 0.10938082
8.1687508152 8.1793304200 5.4415025640	0.22643151 0.22345801 0.48841156
5.4571263947 8.1820744137 8.1912087271	-0.05271583 -0.00831360 0.15460049
8.1757393965 5.4385700592 8.1706332346	0.25576782 0.18538367 0.15640373
6.8141504072 6.8240469852 6.8302250815	0.06964717 -0.02825574 -0.09196558
9.5714719077 9.5682574735 6.8275815732	-0.19910806 -0.18437735 -0.11727450
6.8059895642 9.5695409209 9.5450158099	0.39697734 -0.31524709 0.01045445
9.5563487054 6.8210244570 9.5549477831	-0.19309555 -0.21097368 -0.00480404
