# All DFT energies per atom shifted by 0.795023
# Structure Cluster_id Vol_per_atom DFT_eng(eV/atom) Computed_eng(eV/atom)
Si_B1                1    1.44024665e+01   -3.73380950e+00   -2.83167459e-01 2
Si_B1                1    2.37615871e+01   -4.51638500e+00   -2.95082258e-01 2
Si_B7                2    1.47278762e+01   -3.84876525e+00   -2.89762241e-01 4
Si_B7                2    1.52782393e+01   -4.02607700e+00   -2.93743466e-01 4
Si_B7                2    1.58421452e+01   -4.17544775e+00   -2.97680937e-01 4
Si_B7                2    1.64197587e+01   -4.29920200e+00   -3.01586526e-01 4
Si_B7                2    1.70112444e+01   -4.39950175e+00   -3.05478316e-01 4
Si_B7                2    1.76167668e+01   -4.47840900e+00   -3.09318924e-01 4
Si_B7                2    1.82364907e+01   -4.53785575e+00   -3.12972181e-01 4
Si_B7                2    1.88705804e+01   -4.57964900e+00   -3.16150064e-01 4
Si_B7                2    1.95192008e+01   -4.60547225e+00   -3.18381762e-01 4
Si_B7                2    2.01825164e+01   -4.61689450e+00   -3.19088505e-01 4
Si_B7                2    2.08606918e+01   -4.61537475e+00   -3.17867532e-01 4
Si_B7                2    2.15538917e+01   -4.60226675e+00   -3.14924653e-01 4
Si_B7                2    2.22622806e+01   -4.57882650e+00   -3.11250362e-01 4
Si_B7                2    2.29860231e+01   -4.54621825e+00   -3.08159684e-01 4
Si_B7                2    2.37252839e+01   -4.50551850e+00   -3.06526960e-01 4
Si_B7                2    2.44802275e+01   -4.45772225e+00   -3.06446454e-01 4
Si_B7                2    2.52510186e+01   -4.40374875e+00   -3.07481216e-01 4
Si_B7                2    2.60378218e+01   -4.34444575e+00   -3.09087039e-01 4
Si_B7                2    2.68408018e+01   -4.28058825e+00   -3.10875971e-01 4
Si_L1                3    2.02035073e+01   -4.10506809e+00   -2.89230121e-01 64
Si_L1                3    2.16155466e+01   -4.07483419e+00   -2.93607823e-01 64
Si_L1                3    2.30918916e+01   -4.01231216e+00   -2.96997566e-01 64
Si_L1                3    2.46339741e+01   -3.92511513e+00   -2.99472341e-01 64
Si_L1                3    2.62432261e+01   -3.81953137e+00   -3.01692946e-01 64
Si_L1                3    1.51697679e+01   -3.68913606e+00   -2.71859700e-01 64
Si_L1                3    1.63389039e+01   -3.90006294e+00   -2.74672237e-01 64
Si_L1                3    1.75666178e+01   -4.02978825e+00   -2.79052118e-01 64
Si_L1                3    1.88543416e+01   -4.09374653e+00   -2.84192230e-01 64
